Marque;"Libellé modèle";Modèle;Groupe;"Description Commerciale";Energie;Carrosserie;Cylindrée;Gamme;"Puissance fiscale";"Puissance maximale";"Puissance nominale électrique";"Poids à vide";"Rapport poids-puissance";"Type de boite";"Nombre rapports";"Conso basse vitesse Min";"Conso basse vitesse Max";"Conso moyenne vitesse Min";"Conso moyenne vitesse Max";"Conso haute vitesse Min";"Conso haute vitesse Max";"Conso T-haute vitesse Min";"Conso T-haute vitesse Max";"Conso vitesse mixte Min";"Conso vitesse mixte Max";"Conso elec Min";"Conso elec Max";"Autonomie elec Min";"Autonomie elec Max";"Autonomie elec urbain Min";"Autonomie elec urbain Max";"CO2 basse vitesse Min";"CO2 basse vitesse Max";"CO2 moyenne vitesse Min";"CO2 moyenne vitesse Max";"CO2 haute vitesse Min";"CO2 haute vitesse Max";"CO2 T-haute vitesse Min";"CO2 T-haute vitesse Max";"CO2 vitesse mixte Min";"CO2 vitesse mixte Max";"Essai CO2 type 1";"Essai HC";"Essai Nox";"Essai HCNox";"Essai particules";"Masse OM Min";"Masse OM Max";Bonus-Malus;"Barème Bonus-Malus";"Prix véhicule"
RENAULT;KANGOO;KANGOO;RENAULT;"KANGOO (130ch)";ESSENCE;COMBISPACE;1332;INFERIEURE;7;96,000;;1519;0,06;AUTOMATIQUE;7;8,461;9,020;6,372;7,204;5,681;6,695;6,990;8,845;6,656;7,871;;;;;;;191,87;204,52;144,41;163,26;128,69;151,70;158,44;200,55;150,86;178,42;0,234;0,012;0,022;;0,001;1594;1594;Malus;1901;31000
MAZDA;MX-30;MX-30;AUTRES;"MX-30 e-SKYACTIV (145ch)";ELECTRIC;"TS TERRAINS/CHEMINS";0;INFERIEURE;6;;80,900;1645;0,01;"VARIATION ELECTRIQUE";0;;;;;;;;;;;;179,000;;200,000;;265,000;;;;;;;;;;;;;;;;1720;1720;"Bonus 6000";-6000;38510
B.M.W.;"SERIE 2";218;AUTRES;"218i Active Tourer";ESSENCE;"MONOSPACE COMPACT";1499;"MOYENNE INFERIEURE";7;100,000;;1470;0,07;AUTOMATIQUE;7;8,650;9,234;6,325;6,934;5,255;6,019;6,013;6,888;6,194;6,942;;;;;;;197,01;210,29;143,98;157,81;119,57;136,95;136,88;156,77;141,00;158,00;0,204;0,007;0,009;;;1545;1545;Malus;400;36688
SKODA;OCTAVIA;OCTAVIA;VGF;"OCTAVIA Berline 2.0 TDI (150ch) DSG7";GAZOLE;BERLINE;1968;"MOYENNE SUPERIEURE";8;110,000;;1386;0,08;AUTOMATIQUE;7;6,166;6,470;4,227;5,078;3,544;4,558;3,993;5,452;4,192;5,236;;;;;;;161,70;169,69;110,82;133,17;92,90;119,52;104,70;142,96;109,90;137,30;0,026;;0,028;0,037;;1461;1461;"Neutre 0";;35218
JEEP;COMPASS;COMPASS;STELLANTIS;"1.3 Turbo T4 (240ch) BVA6 4xe Upland / Trailhawk / S";"ELEC+ESSENC HR";"TS TERRAINS/CHEMINS";1332;"MOYENNE SUPERIEURE";10;132,000;44,000;1860;0,07;AUTOMATIQUE;6;;;;;;;;;1,843;2,047;160,400;167,500;48,800;46,300;51,900;52,500;;;;;;;;;43,84;47,67;0,326;0,033;0,019;;;1935;1935;"Neutre 0";;50100
B.M.W.;"SERIE 5";540;AUTRES;"540d xDrive Touring";"GAZ+ELEC HNR";BREAK;2993;LUXE;22;250,000;;1925;0,13;AUTOMATIQUE;8;8,515;9,766;5,957;6,570;5,038;5,708;5,414;6,354;5,822;6,653;;;;;;;223,00;255,80;155,94;172,02;131,86;149,43;141,72;166,36;152,40;174,20;0,110;;0,038;0,065;;2000;2000;Malus;13941;77588
CITROEN;E-BERLINGO;BERLINGO;STELLANTIS;"e-BERLINGO M (57Kw)";ELECTRIC;COMBISPACE;0;INFERIEURE;4;;57,000;1664;0,00;"VARIATION ELECTRIQUE";1;;;;;;;;;;;186,700;227,000;293,000;245,000;433,000;346,100;;;;;;;;;;;;;;;;1739;1739;"Bonus 4000";-6000;38150
B.M.W.;"SERIE X";X3;AUTRES;"X3 xDrive20d";"GAZ+ELEC HNR";"TS TERRAINS/CHEMINS";1995;SUPERIEURE;10;140,000;;1840;0,08;AUTOMATIQUE;8;6,778;7,594;5,356;6,429;4,974;5,856;5,902;7,075;5,621;6,637;;;;;;;177,56;198,92;140,23;168,34;130,21;153,32;154,57;185,30;147,20;173,80;0,165;;0,025;0,069;;1915;1915;Malus;13086;59100
B.M.W.;"SERIE 4";420;AUTRES;"420i Coupe";ESSENCE;COUPE;1998;"MOYENNE SUPERIEURE";10;135,000;;1525;0,09;AUTOMATIQUE;8;8,764;9,768;6,417;7,301;5,366;6,357;5,926;6,914;6,231;7,201;;;;;;;199,56;222,14;146,04;165,88;122,05;144,35;134,84;157,04;141,80;163,60;0,355;0,027;0,014;;;1600;1600;Malus;898;53100
"ALFA ROMEO";GIULIA;GIULIA;STELLANTIS;"GIULIA 2.0 T Essence (200ch) AT8";ESSENCE;BERLINE;1995;SUPERIEURE;11;148,000;;1429;0,10;AUTOMATIQUE;8;10,684;11,242;7,575;8,129;6,159;6,629;6,514;7,064;7,176;7,704;;;;;;;242,08;254,73;171,63;184,18;139,54;150,21;147,60;160,05;162,60;174,55;0,241;0,045;0,023;;0,001;1520;1520;Malus;4279;51625
RENAULT;KANGOO;KANGOO;RENAULT;"KANGOO (130ch)";ESSENCE;COMBISPACE;1332;INFERIEURE;7;96,000;;1519;0,06;AUTOMATIQUE;7;8,461;9,020;6,372;7,204;5,681;6,695;6,990;8,845;6,656;7,871;;;;;;;191,87;204,52;144,41;163,26;128,69;151,70;158,44;200,55;150,86;178,42;0,234;0,012;0,022;;0,001;1594;1594;Malus;1386;31000
OPEL;CORSA;CORSA;STELLANTIS;"CORSA-E (57Kw)";ELECTRIC;BERLINE;0;INFERIEURE;4;;57,000;1455;0,00;"VARIATION ELECTRIQUE";1;;;;;;;;;;;149,800;161,500;373,000;346,000;508,700;475,700;;;;;;;;;;;;;;;;1530;1530;"Bonus 6000";-6000;37600
KIA;RIO;RIO;HYUNDAI;"RIO 1.0 essence T-GDi (100ch) ISG BVM6";ESSENCE;BERLINE;998;"MOYENNE INFERIEURE";5;73,500;;1100;0,07;MECANIQUE;6;6,728;7,118;4,895;5,396;4,351;4,790;5,527;6,070;5,196;5,678;;;;;;;152,87;161,78;111,15;122,59;98,78;108,79;125,55;137,93;118,00;129,00;0,110;0,018;0,030;;;1175;1175;Malus;100;19465
SKODA;KAROQ;KAROQ;VGF;"Karoq 1.5 TSI (150ch) 4*2 BVM6 norme AP freins 15'' Ambition Classe A avec alt 140A famA";ESSENCE;"TS TERRAINS/CHEMINS";1498;"MOYENNE SUPERIEURE";8;110,000;;1321;0,08;MECANIQUE;6;7,635;8,002;5,624;6,209;4,814;5,586;5,644;6,701;5,649;6,430;;;;;;;173,63;181,90;127,83;141,05;109,37;126,87;128,28;152,27;128,40;146,10;0,192;0,027;0,022;;;1396;1396;Malus;360;33965
AUDI;"A3 SPORTBACK";A3;VGF;"A3 Sportback facelift 30 TFSI Mild Hybrid (110ch) S tronic 7";"ESS+ELEC HNR";BERLINE;999;"MOYENNE INFERIEURE";6;81,000;;1280;0,06;AUTOMATIQUE;7;6,514;7,143;5,184;5,750;4,685;5,341;5,634;6,749;5,367;6,164;;;;;;;148,13;162,28;117,84;130,59;106,47;121,27;128,08;153,32;122,00;140,00;0,118;0,020;0,038;;;1355;1355;"Neutre 0";11900;35775
